,0
0,0.038777776
1,0.097067155
2,0.042319275
3,0.020962367
4,0.07652467
5,0.014330743
6,0.06107017
7,0.02253718
8,0.0102159325
9,0.04060647
10,0.043894775
11,0.03570501
12,0.019807076
13,0.041208025
14,0.08883309
15,0.061166313
16,0.041570056
17,0.025172435
18,0.08082713
19,0.07885478
20,0.08932501
21,0.043569993
22,0.08114146
23,0.057756893
24,0.03641969
25,0.03895853
26,0.04059291
27,0.057334796
28,0.011946893
29,-0.0015655684
30,0.072829686
31,0.032566436
32,0.0020106733
33,0.031793743
34,0.0757852
35,0.09010607
36,0.06379766
37,0.113611236
38,-0.0053645284
39,-0.031994343
40,-0.032714773
41,-0.0057327733
42,0.0022830316
43,0.046453282
44,0.0667239
45,0.039993677
46,0.07514956
47,0.026624016
48,0.08841333
49,0.0119374525
50,0.043488268
51,0.016262585
52,0.090804145
53,0.08356441
54,-0.002251838
55,0.041387264
56,0.032459848
57,0.02301378
58,-0.03611141
59,0.043972123
60,-0.016209356
61,0.054018214
62,0.02394825
63,0.041360226
64,0.011973116
65,-0.007656486
66,0.027969351
67,0.053188965
68,0.043534584
69,0.0036007655
70,0.037853427
71,0.0141111845
72,0.026597938
73,0.05813234
74,0.025938297
75,0.04141824
76,0.057788145
77,0.021567818
78,0.082687736
79,0.039901823
80,0.043072358
81,0.0642687
82,0.042231783
83,0.016217444
84,0.07021854
85,0.03876339
86,0.07098241
87,0.07052
88,0.073377386
89,0.036449637
90,0.038306363
91,0.0349417
92,0.0801195
93,0.06946882
94,0.022729315
95,0.012215232
96,0.07455828
97,0.06770506
98,0.007676615
99,0.03649182
100,0.073509336
101,0.06837231
102,0.022372875
103,0.04371816
104,-0.009750028
105,0.035618484
106,0.05704075
107,0.051967967
108,-0.0034441284
109,0.019627567
110,0.021420361
111,0.01714596
112,0.05263533
113,0.01950505
114,0.04206196
115,0.058566958
116,0.033966094
117,0.055387188
118,-0.0072418125
119,0.041897167
120,-0.006320655
121,0.08246427
122,0.05797406
123,0.072514914
124,0.015703792
125,0.056981616
126,0.014948531
127,0.033379275
