0,1,2,3,4
-0.03149059,0.046300814,-0.028703295,0.054297842,0.09310164
-0.1659802,0.029638737,0.07788505,0.12330607,0.10782085
0.029119195,0.26465887,0.091983795,0.029027706,0.062227864
0.09600998,0.057389166,0.021029722,-0.09509208,-0.021590583
-0.18876743,-0.15744907,-0.2397759,-0.27501047,-0.19047646
0,1,2,3,4
-0.020242317,-0.24638441,-0.31881598,-0.1864912,-0.04712058
-0.2279149,-0.2543396,0.018136678,0.12607922,0.066941366
0.33147937,0.2185195,0.23621345,0.1400692,0.090832785
0.19266117,0.20500275,0.16057463,0.058551017,0.03456405
-0.17703575,-0.1766041,-0.1689142,-0.013151069,-0.13464415
0,1,2,3,4
0.10252556,0.269913,0.20308673,0.21453089,0.13723941
0.042848434,0.10698298,0.18171382,0.26058128,0.2501509
-0.13749538,-0.122315414,-0.012592737,0.06177175,0.1567824
-0.3488269,-0.3846843,-0.33387017,-0.23975839,0.076768786
-0.0782573,-0.1912898,-0.26032993,-0.22271258,0.030523373
0,1,2,3,4
-0.18348002,-0.06178667,0.05839983,0.059044458,0.014544434
-0.39040327,-0.073955275,0.11174622,0.107822776,-0.0039281854
-0.11320932,0.21551587,0.20780721,0.08202303,0.079968944
0.025092864,0.23507087,-0.03195202,-0.1853099,-0.10622488
0.09981198,-0.030470321,-0.117849976,-0.25289914,-0.10484648
0,1,2,3,4
-0.09591952,0.039377723,0.07154103,0.033852376,-0.10482296
-0.06077329,0.05511379,0.18582606,-0.07233705,-0.18859705
-0.099595144,0.14906166,0.19363649,-0.19542935,-0.44621632
-0.008490093,0.17819107,0.15917164,-0.21791019,-0.3190457
-0.010397196,0.2270661,0.29908267,0.0486569,0.035343144
0,1,2,3,4
0.037245505,0.09061371,-0.22465575,-0.17102678,-0.15504079
0.103503816,0.09659866,-0.09815344,-0.35945383,-0.20788272
0.09503202,0.14354388,0.11991963,-0.17417152,-0.21620616
0.11985176,0.23805518,0.21636389,0.14784732,-0.007080708
-0.06119676,0.042607415,0.10137926,0.12557079,0.09447417
0,1,2,3,4
-0.10218374,-0.12617347,-0.06720115,0.06577636,-0.03259912
-0.09600201,-0.06408597,0.122277044,0.10401374,-0.008334221
-0.13504544,-0.10520076,0.0690476,0.038767688,-0.07865634
-0.095197074,0.0755253,0.07940904,0.15181081,-0.015136092
0.10655629,0.034591243,-0.019086411,0.083949186,-0.026917804
0,1,2,3,4
0.0991767,0.19966558,0.29225975,0.10248944,-0.12507454
0.2664328,0.16428153,0.19031924,-0.25201,-0.13051365
0.2655325,0.2329163,-0.09425879,-0.43359226,-0.17121474
0.2293267,-0.025237245,-0.3608514,-0.4129903,0.007281183
0.11482727,-0.14727867,-0.32917708,-0.13295463,0.18164949
0,1,2,3,4
0.093312144,-0.10832715,-0.05930254,-0.086580925,-0.034293707
-0.2155034,-0.24430619,-0.043251198,0.042267885,-0.02523555
-0.24635589,0.024445018,0.109926276,0.023816459,0.12660655
0.18161978,0.23929505,0.12237953,0.17082287,0.07863292
0.18173927,0.064384185,-0.21626163,-0.13369192,-0.093537755
0,1,2,3,4
-0.123780414,0.03684469,0.07580216,0.16399908,0.051503677
-0.13356178,-0.16697577,0.013216731,0.24049285,0.055396304
-0.20327184,-0.24771215,-0.10390247,0.19003955,0.11604143
-0.3496025,-0.29027084,-0.020262692,0.1241479,0.20957878
-0.31582233,-0.1713464,0.112558514,0.1517837,0.095233954
0,1,2,3,4
-0.09263183,0.049741745,0.05750732,-0.0047602025,-0.045248844
-0.15809081,0.10139831,0.25394318,-0.10403308,-0.20636503
-0.16307046,-0.038059704,0.105847426,-0.010391485,-0.25329992
-0.08121423,-0.019669138,0.10282611,0.2510454,-0.05935274
-0.16069458,0.006095013,-0.0019687444,0.0015498742,0.061877534
0,1,2,3,4
-0.021423053,-0.09513021,-0.23889004,-0.07722139,-0.106524415
0.05390065,-0.1289473,-0.25052837,-0.20748608,-0.18227257
0.04101539,0.043449163,-0.12431977,-0.08389539,0.13123503
0.16422693,0.25592518,0.120132826,0.12017386,0.07360766
0.0009358593,0.14597936,0.1751358,0.116985746,-0.017197246
0,1,2,3,4
0.19356698,0.28245857,0.19850159,0.16672622,0.19202296
0.16849767,0.21065617,0.14417876,0.19513217,0.18642543
-0.21574543,-0.16287902,-0.053803124,-0.07621716,-0.055821765
-0.2904162,-0.36028978,-0.33947742,-0.31350392,-0.14292851
-0.11444673,-0.11608483,-0.094019614,-0.08017823,-0.07682283
0,1,2,3,4
-0.018678341,-0.09635124,-0.17198166,-0.0073344535,0.231494
0.12778813,-0.11713927,-0.3465639,-0.20103788,-0.10132066
0.17951736,-0.047961835,-0.35239935,-0.31632164,-0.24056785
0.25465694,0.21617316,0.01155067,-0.03637595,-0.059454337
0.08235299,0.33229184,0.27026618,0.30082977,0.14843597
0,1,2,3,4
-0.36738074,-0.41240034,-0.21859476,-0.14900528,-0.13672988
-0.07543228,-0.2305964,-0.26672685,-0.12633748,-0.021425324
0.022831803,-0.055791024,-0.07812944,0.011987261,0.06699694
0.024493597,0.15728855,0.121457666,0.20525615,0.029879138
0.1246229,0.21357414,0.1928283,0.12391801,0.06210565
0,1,2,3,4
0.12407858,0.06371682,-0.29830334,-0.38143927,-0.2781324
-0.21066083,-0.58855015,-0.49715784,-0.21750316,0.095760405
-0.20104271,-0.2511461,-0.019850854,0.025847416,0.24193542
-0.3967278,-0.2172345,0.056171708,0.23061645,0.33619317
-0.14788562,-0.019915238,0.079400785,0.24785283,0.1455568
